ODI;SIGLAS_AREA;ANIO;NRO_EXPEDIENTE;TIPO_EXPEDIENTE;FECHA_PRESENTACION;SECTOR;SUB_SECTOR;DENUNCIADOS;RUC_DENUNCIADOS; 
SEDE CENTRAL;PS3;2015;921;DENUNCIA;10/06/2015;RESTAURANTES, BARES Y CANTINAS ;SERVICIO DE ALIMENTACION Y BEBIDA;ASIA VINO S.A.C.;20517723429; 
SEDE CENTRAL;PS3;2015;922;DENUNCIA;10/06/2015;OTROS TIPOS DE EDUCACION;SERVICIOS DE ENSEÑANZA;¡GREEN EDITORES S.A.C.;20392758721; 
SEDE CENTRAL;PS3;2015;923;DENUNCIA;10/06/2015;COMERCIO MAYORISTA DE ALIMENTOS, BEBIDAS Y TABACO;VENTA DE OTROS PRODUCTOS DE ALIMENTOS, BEBIDAS Y TABACO;;; 
SEDE CENTRAL;PS3;2015;924;DENUNCIA;10/06/2015;CONSTRUCCION E INMOBILIARIOS;ALQUILER DE INMUEBLES POR ENCARGO;CONSORCIO MANTENIMIENTO Y OPERACIONES DEL PERÚ S.A.C.;20524124808; 
SEDE CENTRAL;PS3;2015;925;DENUNCIA;10/06/2015;COMERCIO MINORISTA DE OTROS PRODUCTOS;VENTA DE OTROS PRODUCTOS;H&M HENNES & MAURITZ S.A.C;20555881551; 
SEDE CENTRAL;PS3;2015;926;DENUNCIA;10/06/2015;TIENDAS POR  DEPARTAMENTO, BAZARES Y CONEXOS;VENTA DE ELECTRODOMESTICOS;TIENDAS POR DEPARTAMENTO RIPLEY S.A.;20337564373; 
SEDE CENTRAL;PS3;2015;927;DENUNCIA;10/06/2015;CONSTRUCCION E INMOBILIARIOS;ALQUILER DE INMUEBLES;;; 
SEDE CENTRAL;PS3;2015;928;DENUNCIA;11/06/2015;COMERCIO MINORISTA DE OTROS PRODUCTOS;VENTA DE OTROS PRODUCTOS;;; 
SEDE CENTRAL;PS3;2015;929;DENUNCIA;11/06/2015;SUPERMERCADOS, BODEGAS, MINIMARKETS Y SIMILARES;VENTA DE ELECTRODOMESTICOS;CENCOSUD RETAIL PERU S.A.;20109072177; 
SEDE CENTRAL;PS3;2015;93;DENUNCIA;21/01/2015;COMERCIO MINORISTA DE LINEA BLANCA, MARRON Y OTRAS;VENTA DE ARTICULOS DE USO DOMESTICO;IMPORTACIONES HIRAOKA S.A.C.;20100016681; 
